IP-calls,nodes explored,filename,strategy_subproblem_selection,strategy_node_priority,strategy_reduction,strategy_update_node_priority,strategy_refine_with_integer_gap,strategy_search_method,strategy_refine_method,time_total,subproblem_points,reduced_generator_points,subproblem_points_generated,mgs_points,Yn_points,hYn_points,subproblem_points_vector,subproblem_points_generated_vector,mgs_points_vector,generator_points_vector,time_IP-calls,count_IP-calls,time_nodes explored,count_nodes explored,time_subproblem_points_vector,count_subproblem_points_vector,time_subproblem_points_generated_vector,count_subproblem_points_generated_vector,time_mgs_points_vector,count_mgs_points_vector,time_ASMO.solve,count_ASMO.solve,time_ASMO._set_global_upper_bound,count_ASMO._set_global_upper_bound,time_ASMO._update_global_upper_bound,count_ASMO._update_global_upper_bound,time_ASMO._set_incumbent,count_ASMO._set_incumbent,time_CVRP._update_bounds_from_node,count_CVRP._update_bounds_from_node,time_ASMO._reduce_upper_bounds,count_ASMO._reduce_upper_bounds,timeout
452,152,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-uuu-3_4.json,sequential,largest,50,all,False,phase1,slow,59.90582300000824,300,263,300,263,852,852,100|100|100,100|100|100,100|63|100,100|63|100,,,,,,,,,,,0,2,0.916,10,0,2,0.9,10,3.123,298,111.023,300,False
759,211,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,first,all,False,bbm,slow,38.24366000003647,300,203,227,203,1329,1329,100|100|100,27|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,0.643,6,0,2,0.559,6,1.861,416,69.54,418,False
927,295,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,none,all,False,bbm,slow,3.6919137079967186,300,203,300,203,1329,1329,100|100|100,100|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,0.302,4,0,2,0.284,4,2.026,584,0.0,586,False
759,211,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,100,all,False,bbm,slow,920.2335337089607,300,203,227,203,1329,1329,100|100|100,27|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,1.318,10,0,2,1.243,10,6.611,416,1826.982,418,False
759,211,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,50,all,False,bbm,slow,1335.5376290419372,300,203,227,203,1329,1329,100|100|100,27|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,2.289,14,0,2,2.172,14,7.087,416,2656.843,418,False
564,188,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,first,all,False,phase1,slow,38.33044750010595,300,203,224,203,1329,1329,100|100|100,24|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,0.646,6,0,2,0.613,6,1.803,370,69.995,372,False
679,227,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,none,all,False,phase1,slow,3.038593583041802,300,203,300,203,1329,1329,100|100|100,100|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,0.339,4,0,2,0.272,4,1.447,448,0.0,450,False
564,188,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,100,all,False,phase1,slow,208.56320120790042,300,203,224,203,1329,1329,100|100|100,24|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,0.975,8,0,2,0.86,8,5.733,370,405.31,372,False
564,188,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-ull-3_4.json,sequential,largest,50,all,False,phase1,slow,879.361563457991,300,203,224,203,1329,1329,100|100|100,24|100|100,3|100|100,3|100|100,,,,,,,,,,,0,2,1.451,12,0,2,1.311,12,5.67,370,1747.414,372,False
394,196,./instances/msp/2obj/Lyngesen24-msp-2-100|100-uu-2_3.json,sequential,largest,first,all,False,bbm,slow,1.8102189999772236,200,200,200,200,344,344,100|100,100|100,100|100,100|100,,,,,,,,,,,0,2,0.296,6,0,2,0.296,6,1.029,388,0.14,390,False
